id_perfil,area_conocimiento,peso_tiene_maestria,peso_tiene_doctorado,peso_anios_experiencia_docente_total,peso_anios_experiencia_industria,peso_comp_programacion,peso_comp_bases_datos,peso_comp_software,peso_total_certificaciones,peso_proyectos_desarrollo_reales,peso_experiencia_total,peso_ratio_cert_exp,peso_veces_impartio_area,peso_prefiere_area,peso_proyectos_bd_reales,peso_comp_matematicas,peso_proyectos_matematicos_reales,peso_produccion_academica,peso_proyectos_software_reales,peso_comp_gestion_compu,peso_proyectos_infraestructura_reales,peso_comp_administracion,peso_comp_pedagogica_comunicacion,peso_comp_computacion,peso_comp_tec_herramientas_colaborativas
perfil_programacion,Programación,0.06,0.02,0.1,0.15,0.2,0.03,0.12,0.05,0.08,0.05,0.03,0.08,0.03,,,,,,,,,,,
perfil_bases_datos,Base de Datos,0.1,0.04,0.08,0.15,0.1,0.22,0.08,0.07,,0.04,,0.07,,0.09,,,,,,,,,,
perfil_matematicas,Matemáticas,0.13,0.07,0.13,0.07,0.03,,,,,0.05,,0.1,,,0.27,0.02,0.08,,,,,,,
perfil_software,Software,0.1,0.04,0.08,0.15,0.17,0.08,0.22,0.04,,0.04,,0.07,,,,,,0.11,,,,,,
perfil_gestion_compu,Gestión Computacional,0.1,0.02,0.08,0.13,0.07,,0.08,0.04,,0.05,,0.09,,,,,,,0.22,0.07,,,,
perfil_administracion,Administración,0.1,0.02,0.08,,,,,0.04,,0.04,,0.12,,,,,0.1,,,,0.22,0.13,,
perfil_computacion,Computación,0.1,0.04,0.13,,,,,0.04,,0.05,,0.11,,,,,,,,,,,0.22,0.13
